file,n_points,n_classes,bbox_dx,bbox_dy,bbox_dz
valve_0046_lidar_classes.ply,7791,10,301.80999755859375,196.80609130859375,281.3094482421875
valve_0047_lidar_classes.ply,7043,10,387.4379577636719,195.9537811279297,135.32565307617188
valve_0048_lidar_classes.ply,7521,10,328.73388671875,197.7961883544922,228.7309112548828
valve_0049_lidar_classes.ply,6610,10,395.76031494140625,199.89881896972656,109.33747863769531
valve_0050_lidar_classes.ply,6705,10,391.73602294921875,200.78128051757812,108.21540069580078
valve_0051_lidar_classes.ply,7059,10,314.36187744140625,193.46463012695312,250.8627166748047
valve_0052_lidar_classes.ply,6930,10,391.58038330078125,195.31210327148438,136.26426696777344
valve_0053_lidar_classes.ply,8061,10,300.01611328125,200.2484130859375,288.41290283203125
valve_0054_lidar_classes.ply,7188,10,383.64569091796875,201.39541625976562,157.9239044189453
valve_0055_lidar_classes.ply,7025,10,389.61529541015625,193.7922821044922,128.518310546875
valve_0056_lidar_classes.ply,8154,10,302.41729736328125,198.0589599609375,292.34771728515625
valve_0057_lidar_classes.ply,6590,10,395.71368408203125,198.6583251953125,102.00013732910156
valve_0058_lidar_classes.ply,6369,10,388.3529052734375,192.86407470703125,140.04615783691406
valve_0059_lidar_classes.ply,7230,10,347.59857177734375,194.7259521484375,211.91079711914062
valve_0060_lidar_classes.ply,6790,10,402.8404541015625,193.44790649414062,102.02136993408203
valve_0061_lidar_classes.ply,7632,10,301.576904296875,195.73226928710938,270.1261291503906
valve_0062_lidar_classes.ply,6611,10,393.6310119628906,202.609130859375,111.25012969970703
valve_0063_lidar_classes.ply,7771,10,300.660400390625,195.10902404785156,268.53240966796875
valve_0064_lidar_classes.ply,7396,10,334.34075927734375,199.37744140625,228.28358459472656
valve_0065_lidar_classes.ply,6495,10,400.6657409667969,196.52268981933594,102.00349426269531
valve_0066_lidar_classes.ply,8269,10,301.8486633300781,199.11302185058594,294.37200927734375
valve_0067_lidar_classes.ply,7400,10,300.92205810546875,192.80519104003906,272.39007568359375
valve_0068_lidar_classes.ply,7679,10,314.73687744140625,201.52401733398438,243.32720947265625
valve_0069_lidar_classes.ply,7090,10,369.6374206542969,194.38746643066406,181.7071533203125
valve_0070_lidar_classes.ply,8210,10,302.5274963378906,195.9412384033203,301.3314514160156
valve_0071_lidar_classes.ply,6845,10,368.25262451171875,197.63232421875,191.96473693847656
valve_0072_lidar_classes.ply,6553,10,394.03204345703125,200.45811462402344,101.99679565429688
valve_0073_lidar_classes.ply,8363,10,302.45123291015625,195.47808837890625,294.9582214355469
valve_0074_lidar_classes.ply,7934,10,301.32354736328125,196.26852416992188,296.9154968261719
valve_0075_lidar_classes.ply,7878,10,300.515869140625,195.8331298828125,293.8256530761719
valve_0076_lidar_classes.ply,7570,10,299.779541015625,193.18902587890625,277.5218505859375
valve_0077_lidar_classes.ply,7904,10,299.9189758300781,195.32763671875,274.0618896484375
valve_0078_lidar_classes.ply,8086,10,300.3817138671875,200.0904541015625,282.1498107910156
valve_0079_lidar_classes.ply,6998,10,337.41009521484375,197.24911499023438,232.31036376953125
valve_0080_lidar_classes.ply,7893,10,301.53515625,197.77053833007812,286.3579406738281
valve_0081_lidar_classes.ply,7916,10,299.91082763671875,193.70654296875,297.1849060058594
valve_0082_lidar_classes.ply,6973,10,369.21063232421875,196.07696533203125,178.7460479736328
valve_0083_lidar_classes.ply,8236,10,301.4377746582031,194.53741455078125,286.4667663574219
valve_0084_lidar_classes.ply,8142,10,301.8744812011719,200.777099609375,297.7531433105469
valve_0085_lidar_classes.ply,7982,10,300.9441833496094,202.448974609375,297.48895263671875
valve_0086_lidar_classes.ply,7646,10,300.3349609375,198.08627319335938,283.2813415527344
valve_0087_lidar_classes.ply,8064,10,303.5946044921875,195.72271728515625,294.2059326171875
valve_0088_lidar_classes.ply,8281,10,300.470947265625,201.4287872314453,286.4835510253906
valve_0089_lidar_classes.ply,6744,10,375.71246337890625,195.48013305664062,157.64100646972656
valve_0090_lidar_classes.ply,6654,10,400.337646484375,199.3197021484375,102.00070190429688
valve_0091_lidar_classes.ply,6571,10,395.6218566894531,201.93890380859375,120.06909942626953
valve_0092_lidar_classes.ply,8228,10,301.48626708984375,196.30628967285156,292.12115478515625
valve_0093_lidar_classes.ply,7484,10,305.59283447265625,195.365478515625,250.86392211914062
valve_0094_lidar_classes.ply,8703,10,303.5740966796875,202.62684631347656,292.5532531738281
valve_0095_lidar_classes.ply,7723,10,300.15362548828125,194.5254364013672,260.4488830566406
valve_0096_lidar_classes.ply,7004,10,374.3138427734375,202.15731811523438,164.43788146972656
valve_0097_lidar_classes.ply,7646,10,303.37054443359375,197.81918334960938,266.7713317871094
valve_0098_lidar_classes.ply,8453,10,300.02996826171875,197.1033935546875,295.7491455078125
valve_0099_lidar_classes.ply,6659,10,390.2950439453125,199.70550537109375,102.01522827148438
valve_0100_lidar_classes.ply,7438,10,337.7821350097656,198.42611694335938,222.45733642578125
valve_0101_lidar_classes.ply,7547,10,301.76409912109375,192.89251708984375,268.65997314453125
valve_0102_lidar_classes.ply,7404,10,329.3603515625,196.387451171875,229.8463897705078
valve_0103_lidar_classes.ply,7398,10,299.777587890625,193.3861846923828,267.7048034667969
valve_0104_lidar_classes.ply,7390,10,326.4210205078125,196.2582244873047,240.2584228515625
valve_0105_lidar_classes.ply,7366,10,300.137939453125,199.5989532470703,256.7484436035156
valve_0106_lidar_classes.ply,7228,10,327.4307861328125,194.7440948486328,231.1005401611328
valve_0107_lidar_classes.ply,8118,10,300.02789306640625,198.6591796875,285.08349609375
valve_0108_lidar_classes.ply,7822,10,308.6617431640625,201.52267456054688,248.2300262451172
valve_0109_lidar_classes.ply,6810,10,388.1258544921875,199.24392700195312,101.98533630371094
valve_0110_lidar_classes.ply,8009,10,301.2099609375,193.31243896484375,292.337158203125
valve_0111_lidar_classes.ply,8247,10,299.9296875,201.2610321044922,295.8339538574219
valve_0112_lidar_classes.ply,7382,10,334.99139404296875,202.64712524414062,223.58392333984375
valve_0113_lidar_classes.ply,7633,10,301.49639892578125,199.92510986328125,263.09783935546875
valve_0114_lidar_classes.ply,7241,10,301.5892639160156,200.29379272460938,256.6195068359375
valve_0115_lidar_classes.ply,6997,10,397.7687683105469,194.65869140625,114.6213607788086
valve_0116_lidar_classes.ply,8154,10,300.2460632324219,198.42417907714844,295.50286865234375
valve_0117_lidar_classes.ply,6708,10,380.63909912109375,200.36146545410156,130.55368041992188
valve_0118_lidar_classes.ply,7610,10,300.81829833984375,196.04061889648438,279.0398864746094
valve_0119_lidar_classes.ply,7313,10,373.3873291015625,195.2190399169922,161.1142578125
valve_0120_lidar_classes.ply,7606,10,336.47540283203125,199.93344116210938,224.34991455078125
valve_0121_lidar_classes.ply,7975,10,299.86956787109375,194.58750915527344,285.5970458984375
valve_0122_lidar_classes.ply,7180,10,307.4480285644531,198.02301025390625,254.52719116210938
valve_0123_lidar_classes.ply,6479,10,398.5123291015625,193.46206665039062,102.0125732421875
valve_0124_lidar_classes.ply,8061,10,300.7147521972656,199.80905151367188,282.0858459472656
valve_0125_lidar_classes.ply,6807,10,390.1192321777344,201.3548583984375,107.02383422851562
valve_0126_lidar_classes.ply,7957,10,301.33306884765625,192.74166870117188,299.0379638671875
valve_0127_lidar_classes.ply,7729,10,301.72247314453125,192.69235229492188,281.51446533203125
valve_0128_lidar_classes.ply,7113,10,355.393310546875,197.55126953125,208.2936553955078
valve_0129_lidar_classes.ply,7548,10,326.07904052734375,198.28631591796875,235.03927612304688
valve_0130_lidar_classes.ply,7852,10,301.7833251953125,200.4444122314453,282.3903503417969
valve_0131_lidar_classes.ply,6817,10,388.925048828125,202.1422576904297,109.10075378417969
valve_0132_lidar_classes.ply,7553,10,315.3549499511719,202.75682067871094,244.740966796875
valve_0133_lidar_classes.ply,6969,10,369.9330749511719,196.179443359375,166.99261474609375
valve_0134_lidar_classes.ply,7052,10,362.64312744140625,201.59629821777344,195.70806884765625
valve_0135_lidar_classes.ply,6566,10,388.53314208984375,200.60128784179688,102.00636291503906
valve_0136_lidar_classes.ply,8051,10,299.877197265625,196.64749145507812,289.2144775390625
valve_0137_lidar_classes.ply,8100,10,300.8686218261719,193.1027374267578,291.8992614746094
valve_0138_lidar_classes.ply,7188,10,320.1681213378906,199.97726440429688,246.99481201171875
valve_0139_lidar_classes.ply,7960,10,299.9230041503906,193.05783081054688,289.3167724609375
valve_0140_lidar_classes.ply,7924,10,301.9449462890625,197.70913696289062,294.28973388671875
valve_0141_lidar_classes.ply,7347,10,311.43463134765625,192.69573974609375,246.44757080078125
valve_0142_lidar_classes.ply,7944,10,302.0427551269531,199.50901794433594,287.7554626464844
valve_0143_lidar_classes.ply,7089,10,338.94146728515625,196.4996337890625,225.7459716796875
valve_0144_lidar_classes.ply,6569,10,393.96881103515625,199.73641967773438,117.76252746582031
valve_0145_lidar_classes.ply,7564,10,300.2916259765625,197.38516235351562,268.6527099609375
valve_0146_lidar_classes.ply,7357,10,353.4844970703125,198.0411376953125,199.96897888183594
valve_0147_lidar_classes.ply,6739,10,375.2359619140625,193.5233154296875,171.21377563476562
valve_0148_lidar_classes.ply,6984,10,366.0507507324219,196.2019500732422,174.02902221679688
valve_0149_lidar_classes.ply,7832,10,301.0404357910156,196.31971740722656,292.5112609863281
valve_0150_lidar_classes.ply,7544,10,302.1271667480469,200.8953094482422,257.83831787109375
valve_0151_lidar_classes.ply,8136,10,300.768310546875,202.62576293945312,289.90631103515625
valve_0152_lidar_classes.ply,7248,10,350.1392822265625,194.15164184570312,204.57864379882812
valve_0153_lidar_classes.ply,7766,10,301.2956237792969,193.7388916015625,271.0997619628906
valve_0154_lidar_classes.ply,6949,10,400.48114013671875,199.74656677246094,102.02182006835938
valve_0155_lidar_classes.ply,7265,10,379.4459228515625,201.9124755859375,155.52706909179688
valve_0156_lidar_classes.ply,8102,10,300.7466125488281,193.47183227539062,295.5140380859375
valve_0157_lidar_classes.ply,7915,10,302.8675537109375,193.0813446044922,289.50244140625
valve_0158_lidar_classes.ply,7994,10,302.6104736328125,199.75125122070312,299.50128173828125
valve_0159_lidar_classes.ply,7159,10,342.049072265625,199.42498779296875,225.47930908203125
valve_0160_lidar_classes.ply,7108,10,379.6075134277344,203.343994140625,143.4547119140625
valve_0161_lidar_classes.ply,7028,10,396.50006103515625,194.19747924804688,102.03518676757812
valve_0162_lidar_classes.ply,7833,10,300.80621337890625,202.32640075683594,275.7598876953125
valve_0163_lidar_classes.ply,8301,10,302.3151550292969,196.55584716796875,297.2118225097656
valve_0164_lidar_classes.ply,7276,10,300.02520751953125,194.1121368408203,270.95843505859375
valve_0165_lidar_classes.ply,6926,10,379.58355712890625,197.32015991210938,137.21762084960938
valve_0166_lidar_classes.ply,8019,10,300.52703857421875,197.8632354736328,274.64251708984375
valve_0167_lidar_classes.ply,7810,10,301.8641357421875,200.74163818359375,267.509521484375
valve_0168_lidar_classes.ply,7628,10,300.0344543457031,199.41891479492188,278.0003356933594
valve_0169_lidar_classes.ply,8247,10,300.1239013671875,198.267822265625,292.16156005859375
valve_0170_lidar_classes.ply,6420,10,387.8343811035156,194.4571533203125,102.00521087646484
valve_0171_lidar_classes.ply,7908,10,301.9562683105469,200.1316375732422,272.8852233886719
valve_0172_lidar_classes.ply,6947,10,371.65106201171875,199.08885192871094,173.26296997070312
valve_0173_lidar_classes.ply,7998,10,301.26593017578125,196.4678497314453,276.1096496582031
valve_0174_lidar_classes.ply,7402,10,300.93829345703125,194.71827697753906,254.34371948242188
valve_0175_lidar_classes.ply,7664,10,302.10418701171875,194.56422424316406,298.1455078125
valve_0176_lidar_classes.ply,7231,10,322.90740966796875,200.0591583251953,240.21676635742188
valve_0177_lidar_classes.ply,8165,10,299.8355407714844,193.80831909179688,291.77276611328125
valve_0178_lidar_classes.ply,7327,10,364.5699157714844,193.93629455566406,176.9654998779297
valve_0179_lidar_classes.ply,7806,10,301.7695007324219,194.05303955078125,297.4030456542969
valve_0180_lidar_classes.ply,6819,10,376.3863830566406,195.9011688232422,168.1781463623047
valve_0181_lidar_classes.ply,7021,10,366.64251708984375,195.95166015625,183.64447021484375
valve_0182_lidar_classes.ply,6959,10,381.2447509765625,193.87940979003906,157.1246337890625
valve_0183_lidar_classes.ply,7350,10,301.8492431640625,192.6478271484375,264.4735107421875
valve_0184_lidar_classes.ply,7603,10,326.08441162109375,198.69866943359375,232.88235473632812
valve_0185_lidar_classes.ply,7654,10,311.4344787597656,198.28713989257812,243.77333068847656
valve_0186_lidar_classes.ply,7598,10,330.15185546875,196.92623901367188,229.53045654296875
valve_0187_lidar_classes.ply,6763,10,376.7828063964844,200.45120239257812,155.27061462402344
valve_0188_lidar_classes.ply,7986,10,300.1031494140625,199.41944885253906,280.7101745605469
valve_0189_lidar_classes.ply,8275,10,300.4936218261719,198.11376953125,288.82904052734375
valve_0190_lidar_classes.ply,7170,10,373.456787109375,203.1126708984375,163.80941772460938
valve_0191_lidar_classes.ply,6571,10,392.02032470703125,200.32704162597656,102.00629425048828
valve_0192_lidar_classes.ply,8368,10,300.2416076660156,199.38027954101562,292.3631896972656
valve_0193_lidar_classes.ply,7427,10,322.3421936035156,201.87411499023438,241.3267822265625
valve_0194_lidar_classes.ply,7444,10,352.2322998046875,202.39202880859375,202.31021118164062
valve_0195_lidar_classes.ply,8325,10,300.936767578125,199.34072875976562,289.02056884765625
valve_0196_lidar_classes.ply,6805,10,389.3923645019531,203.00344848632812,106.218994140625
valve_0197_lidar_classes.ply,6859,10,368.33575439453125,198.62945556640625,175.37548828125
valve_0198_lidar_classes.ply,7547,10,301.9178771972656,192.85472106933594,271.4543762207031
valve_0199_lidar_classes.ply,6570,10,403.2138671875,196.001708984375,102.00517272949219
valve_0200_lidar_classes.ply,6665,10,377.6005859375,193.3269500732422,166.8209228515625
valve_0201_lidar_classes.ply,7666,10,299.7392578125,198.3885040283203,262.891357421875
valve_0202_lidar_classes.ply,7347,10,301.7572937011719,197.9056396484375,262.14080810546875
valve_0203_lidar_classes.ply,7088,10,357.85687255859375,192.68197631835938,202.4031219482422
valve_0204_lidar_classes.ply,7225,10,367.09124755859375,195.27398681640625,176.28245544433594
valve_0205_lidar_classes.ply,7498,10,339.8893127441406,198.00228881835938,220.97999572753906
valve_0206_lidar_classes.ply,7170,10,362.5595397949219,200.8236083984375,185.3205108642578
valve_0207_lidar_classes.ply,6938,10,382.14111328125,199.49220275878906,133.7277374267578
valve_0208_lidar_classes.ply,7328,10,337.10009765625,196.69189453125,223.63473510742188
valve_0209_lidar_classes.ply,6611,10,393.236083984375,194.85699462890625,102.00255584716797
valve_0210_lidar_classes.ply,7250,10,317.3108215332031,202.34402465820312,249.95797729492188
valve_0211_lidar_classes.ply,7434,10,301.16015625,199.9326934814453,264.2347717285156
valve_0212_lidar_classes.ply,8095,10,299.7928771972656,197.15353393554688,274.3583984375
valve_0213_lidar_classes.ply,7624,10,300.99639892578125,202.6429901123047,258.6258544921875
valve_0214_lidar_classes.ply,6880,10,372.32879638671875,202.22393798828125,175.9747314453125
valve_0215_lidar_classes.ply,6682,10,376.4569091796875,194.7649383544922,155.70297241210938
valve_0216_lidar_classes.ply,7395,10,317.2073974609375,194.1100616455078,242.7166748046875
valve_0217_lidar_classes.ply,6770,10,387.6156005859375,197.93739318847656,111.83007049560547
valve_0218_lidar_classes.ply,6909,10,379.18475341796875,198.64651489257812,150.75741577148438
valve_0219_lidar_classes.ply,7428,10,301.87969970703125,199.1800079345703,269.03076171875
valve_0220_lidar_classes.ply,8252,10,299.97760009765625,200.49462890625,289.7163391113281
valve_0221_lidar_classes.ply,7556,10,338.44525146484375,202.72891235351562,220.34817504882812
valve_0222_lidar_classes.ply,6559,10,388.832275390625,200.45672607421875,134.78709411621094
valve_0223_lidar_classes.ply,7131,10,389.20281982421875,200.25953674316406,137.677001953125
valve_0224_lidar_classes.ply,7275,10,352.46295166015625,202.38575744628906,208.60122680664062
valve_0225_lidar_classes.ply,6297,10,397.31060791015625,195.73208618164062,101.98745727539062
valve_0226_lidar_classes.ply,7028,10,365.43695068359375,200.12110900878906,179.3226318359375
valve_0227_lidar_classes.ply,8124,10,303.60614013671875,202.20684814453125,270.53271484375
valve_0228_lidar_classes.ply,7320,10,348.299072265625,195.16366577148438,209.94676208496094
valve_0229_lidar_classes.ply,6946,10,372.00701904296875,197.6653289794922,167.95782470703125
valve_0230_lidar_classes.ply,7243,10,374.6307678222656,195.83154296875,150.67262268066406
valve_0231_lidar_classes.ply,6497,10,395.7337951660156,193.6037139892578,102.00094604492188
valve_0232_lidar_classes.ply,7776,10,300.1361389160156,196.61875915527344,276.58966064453125
valve_0233_lidar_classes.ply,6620,10,380.95672607421875,196.22845458984375,153.10079956054688
valve_0234_lidar_classes.ply,7165,10,379.029296875,199.90328979492188,157.0738525390625
valve_0235_lidar_classes.ply,6630,10,397.20465087890625,193.92428588867188,102.0242919921875
valve_0236_lidar_classes.ply,6923,10,365.6268005371094,196.5732421875,196.36056518554688
valve_0237_lidar_classes.ply,6614,10,385.51953125,195.609375,102.00358581542969
valve_0238_lidar_classes.ply,7389,10,365.35791015625,197.94895935058594,175.93099975585938
valve_0239_lidar_classes.ply,8115,10,300.3846435546875,196.1541748046875,285.48382568359375
valve_0240_lidar_classes.ply,6567,10,391.4512023925781,199.49118041992188,111.01856994628906
valve_0241_lidar_classes.ply,6464,10,393.8326721191406,193.7142333984375,125.82341003417969
valve_0242_lidar_classes.ply,7960,10,302.1755065917969,193.30262756347656,299.1448974609375
valve_0243_lidar_classes.ply,7149,10,352.33917236328125,197.40501403808594,204.3498077392578
valve_0244_lidar_classes.ply,6881,10,384.91656494140625,200.49844360351562,112.63526153564453
valve_0245_lidar_classes.ply,7744,10,301.3409423828125,194.06927490234375,262.3159484863281
valve_0246_lidar_classes.ply,6694,10,380.05780029296875,198.74948120117188,147.14732360839844
valve_0247_lidar_classes.ply,8182,10,299.90313720703125,197.20042419433594,284.4862060546875
valve_0248_lidar_classes.ply,8348,10,300.0145568847656,193.88388061523438,290.5689392089844
valve_0249_lidar_classes.ply,6975,10,370.78839111328125,200.7344512939453,181.6371612548828
valve_0250_lidar_classes.ply,7743,10,299.98736572265625,200.9547576904297,253.22703552246094
valve_0251_lidar_classes.ply,6546,10,396.07049560546875,199.39927673339844,119.71743774414062
valve_0252_lidar_classes.ply,6501,10,402.0682373046875,200.30661010742188,102.00128173828125
valve_0253_lidar_classes.ply,7958,10,301.6417541503906,199.1333465576172,299.50982666015625
valve_0254_lidar_classes.ply,7309,10,396.4599914550781,201.6878662109375,101.99788665771484
valve_0255_lidar_classes.ply,7282,10,331.9765625,197.29840087890625,231.51560974121094
valve_0256_lidar_classes.ply,8267,10,301.7562255859375,202.0081024169922,287.95379638671875
valve_0257_lidar_classes.ply,8274,10,300.63482666015625,202.5211181640625,302.78912353515625
valve_0258_lidar_classes.ply,7492,10,369.0484313964844,202.95849609375,171.0543670654297
valve_0259_lidar_classes.ply,7357,10,343.314697265625,192.95021057128906,216.1042938232422
valve_0260_lidar_classes.ply,6840,10,373.2377014160156,194.16632080078125,154.71299743652344
valve_0261_lidar_classes.ply,7761,10,299.726806640625,193.59310913085938,285.49298095703125
valve_0262_lidar_classes.ply,7389,10,361.1748046875,199.8459014892578,192.12567138671875
valve_0263_lidar_classes.ply,6475,10,399.33441162109375,203.053955078125,101.99696350097656
valve_0264_lidar_classes.ply,7282,10,323.647216796875,197.1475372314453,236.02664184570312
valve_0265_lidar_classes.ply,7674,10,301.6832275390625,198.218505859375,255.0865478515625
valve_0266_lidar_classes.ply,7545,10,302.1726379394531,193.1889190673828,269.6916809082031
valve_0267_lidar_classes.ply,8184,10,300.03021240234375,198.55514526367188,300.78533935546875
valve_0268_lidar_classes.ply,7108,10,359.5433349609375,199.4549560546875,189.4960479736328
valve_0269_lidar_classes.ply,8217,10,301.1278076171875,195.21726989746094,284.65618896484375
valve_0270_lidar_classes.ply,6904,10,353.6689453125,195.069580078125,211.09393310546875
valve_0271_lidar_classes.ply,7028,10,367.5868225097656,197.04754638671875,167.8702392578125
valve_0272_lidar_classes.ply,6306,10,391.86700439453125,194.90945434570312,119.65858459472656
valve_0273_lidar_classes.ply,7722,10,300.77960205078125,202.30128479003906,290.2288818359375
valve_0274_lidar_classes.ply,7392,10,342.5988464355469,200.3535919189453,213.59011840820312
valve_0275_lidar_classes.ply,6574,10,385.04351806640625,200.29217529296875,153.39328002929688
valve_0276_lidar_classes.ply,7184,10,303.98358154296875,199.235107421875,259.3113708496094
valve_0277_lidar_classes.ply,8051,10,300.5933837890625,201.61459350585938,271.3130798339844
valve_0278_lidar_classes.ply,6703,10,391.95684814453125,197.6929168701172,102.94248962402344
valve_0279_lidar_classes.ply,7945,10,299.98486328125,194.93247985839844,289.1064453125
valve_0280_lidar_classes.ply,8072,10,300.4691162109375,193.74600219726562,299.68145751953125
valve_0281_lidar_classes.ply,6918,10,365.8734130859375,197.613525390625,191.070068359375
valve_0282_lidar_classes.ply,7373,10,301.2584228515625,200.27859497070312,260.13037109375
valve_0283_lidar_classes.ply,7187,10,311.0435791015625,197.8096466064453,252.2167205810547
valve_0284_lidar_classes.ply,6926,10,379.8396301269531,201.9732666015625,155.5880889892578
valve_0285_lidar_classes.ply,7113,10,369.5645446777344,201.75039672851562,171.87713623046875
valve_0286_lidar_classes.ply,8079,10,302.6802978515625,194.6479034423828,286.26959228515625
valve_0287_lidar_classes.ply,7378,10,314.43218994140625,196.4190673828125,243.8890380859375
valve_0288_lidar_classes.ply,7566,10,300.12469482421875,202.35740661621094,276.0408935546875
valve_0289_lidar_classes.ply,6833,10,370.6297607421875,193.5981903076172,169.16854858398438
valve_0290_lidar_classes.ply,6947,10,372.420166015625,201.50355529785156,156.6436004638672
valve_0291_lidar_classes.ply,7136,10,350.88092041015625,198.76220703125,208.2640838623047
valve_0292_lidar_classes.ply,7148,10,392.43890380859375,195.35409545898438,102.00849914550781
valve_0293_lidar_classes.ply,7597,10,310.29718017578125,193.82327270507812,246.67654418945312
valve_0294_lidar_classes.ply,6986,10,373.8018798828125,200.25550842285156,175.2730712890625
valve_0295_lidar_classes.ply,8249,10,299.896240234375,197.6387939453125,290.33892822265625
valve_0296_lidar_classes.ply,7050,10,361.899658203125,199.68431091308594,195.66539001464844
valve_0297_lidar_classes.ply,7013,10,401.53509521484375,198.06817626953125,102.00048828125
valve_0298_lidar_classes.ply,7539,10,322.8998718261719,202.91494750976562,237.28488159179688
valve_0299_lidar_classes.ply,7414,10,307.1915588378906,196.06103515625,249.63970947265625
valve_0300_lidar_classes.ply,8559,10,299.8067321777344,202.5804901123047,289.5911865234375
valve_0301_lidar_classes.ply,7244,10,365.39447021484375,194.03665161132812,175.24288940429688
valve_0302_lidar_classes.ply,6489,10,400.98394775390625,201.54864501953125,102.01295471191406
valve_0303_lidar_classes.ply,7445,10,341.73931884765625,198.72817993164062,216.86117553710938
valve_0304_lidar_classes.ply,7920,10,300.7236328125,198.89898681640625,289.4382629394531
valve_0305_lidar_classes.ply,6682,10,388.0039978027344,198.34616088867188,119.3970718383789
valve_0306_lidar_classes.ply,7667,10,301.8802490234375,193.7089080810547,294.62579345703125
valve_0307_lidar_classes.ply,6672,10,396.0810546875,201.111328125,102.01852416992188
valve_0308_lidar_classes.ply,8123,10,301.1460266113281,195.46322631835938,296.2596435546875
valve_0309_lidar_classes.ply,7457,10,316.5880126953125,198.48580932617188,244.00457763671875
valve_0310_lidar_classes.ply,6539,10,385.41912841796875,202.96546936035156,159.09288024902344
valve_0311_lidar_classes.ply,6720,10,384.5774230957031,195.8857879638672,128.26622009277344
valve_0312_lidar_classes.ply,6727,10,383.4406433105469,199.53746032714844,121.16805267333984
